Model,AUC Train,AUC Validation
Decision Tree,0.8475811221902991,0.7636107141992202
Random Forest,1.0,0.8195127267443268
XGBoost,0.9704537772519859,0.8218709888353394
CatBoost,0.9953502619570729,0.8399378799254074
