Model,Train AUC,Validation AUC
Decision Tree,0.8739542842656751,0.7682273376764912
Random Forest,0.9518949636640189,0.8273625003027294
XGBoost,0.9049638048560644,0.8314614564917294
CatBoost,0.9110071263590784,0.8362021990264221
Simple Average,0.9257837586614839,0.834543241868688
Weighted Optimised,0.9257837586614839,0.834543241868688
