iter	Logloss
0	0.6616285792
1	0.6366107306
2	0.6173644443
3	0.5965368016
4	0.5787766412
5	0.5648717062
6	0.555651089
7	0.5420200925
8	0.5309140062
9	0.5191805224
10	0.5110882725
11	0.5030710091
12	0.4952946801
13	0.4876819097
14	0.4822658691
15	0.4772150935
16	0.4708715187
17	0.4659209985
18	0.4609304051
19	0.4571563346
20	0.4528506775
21	0.4491911201
22	0.4458281808
23	0.4432782543
24	0.4393467534
25	0.4352819592
26	0.4322196884
27	0.4307023795
28	0.4286302431
29	0.4260354921
30	0.4232298722
31	0.4207304499
32	0.4189062244
33	0.4173475576
34	0.4152839965
35	0.4134507235
36	0.4119620742
37	0.4104917167
38	0.409042446
39	0.4079962061
40	0.4064133652
41	0.404957992
42	0.4034866138
43	0.4022801067
44	0.4009650711
45	0.3993818839
46	0.3981681537
47	0.3968046258
48	0.3951949692
49	0.3937886578
50	0.3925256551
51	0.3911432586
52	0.3903640872
53	0.3899003681
54	0.3887694909
55	0.3879129433
56	0.3870179116
57	0.3863284196
58	0.3852902504
59	0.384532191
60	0.3835049451
61	0.3825663124
62	0.3817550671
63	0.3805779286
64	0.3802779535
65	0.379546115
66	0.3786450469
67	0.3775777171
68	0.3768955326
69	0.3763498892
70	0.3757601987
71	0.3753219509
72	0.3746483004
73	0.3742887657
74	0.3737622906
75	0.3731756173
76	0.3730157252
77	0.3726085559
78	0.3718170518
79	0.3709042474
80	0.3704062434
81	0.3698409996
82	0.369283037
83	0.3692553338
84	0.3686461887
85	0.3684914496
86	0.3679652148
87	0.3674820804
88	0.3671823117
89	0.3667065141
90	0.3662147945
91	0.365309398
92	0.3650406945
93	0.3646410708
94	0.3640187968
95	0.3634311016
96	0.3631009651
97	0.362710411
98	0.3621120637
99	0.3617346413
100	0.3610532802
101	0.3604559311
102	0.3601411153
103	0.3592430568
104	0.3584147827
105	0.3582731111
106	0.3575959704
107	0.3572565611
108	0.3569604619
109	0.356649569
110	0.3559764525
111	0.355704952
112	0.3554128118
113	0.354913878
114	0.3544571068
115	0.3537405688
116	0.3534357022
117	0.3531003149
118	0.3526696603
119	0.3520693409
120	0.3516801714
121	0.3511633703
122	0.3505287206
123	0.350113584
124	0.349402361
125	0.3491861466
126	0.3488792784
127	0.34860977
128	0.3483994738
129	0.3483647913
130	0.3481017258
131	0.3476170785
132	0.3472893122
133	0.3469908963
134	0.3466034485
135	0.34613392
136	0.3454259139
137	0.3449629338
138	0.3443727048
139	0.3441558933
140	0.3437278731
141	0.3434620979
142	0.3433481061
143	0.3432030757
144	0.3429975332
145	0.3428423408
146	0.3426533003
147	0.3420285995
148	0.3416597138
149	0.3411328394
150	0.3405568428
151	0.3404100834
152	0.3404092875
153	0.3400710782
154	0.339867466
155	0.3395288758
156	0.3389447861
157	0.338293606
158	0.3379974388
159	0.337412799
160	0.3368976054
161	0.3364896212
162	0.3362567866
163	0.3355037575
164	0.3350308744
165	0.3345956496
166	0.3340877459
167	0.3335948208
168	0.3328910636
169	0.3326292967
170	0.3324206212
171	0.3320891825
172	0.3316157142
173	0.3312045666
174	0.330972552
175	0.3303483244
176	0.3299203606
177	0.3293504805
178	0.3291539717
179	0.3288498643
180	0.328427823
181	0.3284246408
182	0.3280741591
183	0.3275626975
184	0.3275154889
185	0.3270747394
186	0.3269942878
187	0.3262154112
188	0.3261225948
189	0.3259393687
190	0.3253413159
191	0.3251449375
192	0.3249196183
193	0.3248548343
194	0.324403184
195	0.3242125376
196	0.3238035584
197	0.3232271489
198	0.3231524143
199	0.3228989944
200	0.3227999402
201	0.3223004738
202	0.3221475713
203	0.3216262193
204	0.3209083404
205	0.320766707
206	0.3206045879
207	0.3205024013
208	0.3197233791
209	0.3193054223
210	0.3192397139
211	0.3188872178
212	0.3185553331
213	0.3180718963
214	0.3174770208
215	0.3167524111
216	0.3164779951
217	0.3161001351
218	0.316044108
219	0.3159677884
220	0.3157561098
221	0.3151188112
222	0.314892463
223	0.3147361199
224	0.3142586865
225	0.3141569756
226	0.3140200296
227	0.3135875045
228	0.3133404033
229	0.3133047487
230	0.3132736035
231	0.3131340449
232	0.3130541505
233	0.3124549253
234	0.3121808673
235	0.3120744254
236	0.3116175039
237	0.311212202
238	0.3109461118
239	0.3107915447
240	0.3106838253
241	0.3102173481
242	0.3100411987
243	0.3097660071
244	0.3097125666
245	0.3092893948
246	0.3089231945
247	0.3086396335
248	0.3081066928
249	0.3075299205
250	0.3073631991
251	0.3069033446
252	0.3068109892
253	0.3065973615
254	0.306106829
255	0.305689896
256	0.3056701852
257	0.3049452441
258	0.3045728083
259	0.3041043633
260	0.3035435464
261	0.3033009578
262	0.303012093
263	0.3028571897
264	0.30234899
265	0.3022774723
266	0.3018993777
267	0.3015442114
268	0.301465934
269	0.3011588006
270	0.300648076
271	0.3004394281
272	0.2998899234
273	0.29981317
274	0.2995447853
275	0.2994880807
276	0.2989023144
277	0.29855652
278	0.2983601275
279	0.298176684
280	0.2980651178
281	0.2977142057
282	0.2972566276
283	0.29702785
284	0.2965008147
285	0.2962878698
286	0.2959902597
287	0.2953353534
288	0.2951204238
289	0.2944017873
290	0.2942368598
291	0.2942204096
292	0.2938674289
293	0.2937764543
294	0.2932632172
295	0.2930117143
296	0.2927669578
297	0.2924939625
298	0.2922876134
299	0.2921663603
300	0.2918266311
301	0.2917099697
302	0.2914138705
303	0.2912085686
304	0.2908946015
305	0.2903328098
306	0.2900770752
307	0.2900291098
308	0.2898019913
309	0.2896189506
310	0.2895158164
311	0.2894497423
312	0.2891839125
313	0.2891291744
314	0.2886182696
315	0.2883928481
316	0.2883454712
317	0.287749209
318	0.2873369952
319	0.2869979517
320	0.2867778213
